번호,단어,의미
1,person,사람
2,clothes,"천, 옷감"
3,life,"삶, 생명"
4,movie,영화
5,job,"일, 직업"
6,activity,활동
7,country,"국가, 시골"
8,example,"예, 사례"
9,earth,"지구, 흙"
10,dialogue,대화
11,problem,문제
12,letter,편지
13,way,"길, 방법"
14,fire,"불, 해고하다"
15,language,언어
16,minute,분
17,story,"이야기, 층"
18,part,"부분, 일부"
19,lot,"운, 운세"
20,plan,계획
21,name,이름
22,plant,"식물, 심다"
23,hand,"손, 건네다"
24,park,"공원, 주차하다"
25,place,장소
26,call,"부르다, 전화하다"
27,practice,"연습, 실천"
28,try,노력하다
29,work,"일, 작품"
30,need,필요로 하다
31,use,사용하다
32,keep,"지키다, 유지하다"
33,kind,"친절한, 종류"
34,listen,듣다
35,fun,재미
36,find,"찾다, 발견하다"
37,future,미래
38,learn,배우다
39,have,가지다
40,live,살다
41,make,만들다
42,mean,의미하다
43,let,~하게 해주다
44,last,지속하다
45,get,"얻다, 취하다"
46,any,어떤
47,take,가져가다
48,each,각각의
49,different,"다른, 다양한"
50,other,다른
51,important,중요한
52,another,또 다른
53,right,"옳은, 권리"
54,same,같은
55,sure,확실한
56,too,"또한, 너무"
57,well,"잘, 우물"
58,also,또한
59,hard,"딱딱한, 열심히"
60,really,정말로
61,bird,새
62,nature,"자연, 본성"
63,restaurant,식당
64,state,"상태, 진술하다"
65,trip,"여행, 출장"
66,island,섬
67,vacation,"휴가, 방학"
68,group,"무리, 무리 짓다"
69,space,"공간, 우주"
70,soldier,군인
71,street,거리
72,habit,습관
73,side,"측, 입장"
74,culture,문화
75,paper,종이
76,history,역사
77,newspaper,신문
78,information,정보
79,face,"얼굴, 마주하다"
80,advertisement,광고
81,mind,"마음, 꺼리다"
82,science,과학
83,change,변화하다
84,war,전쟁
85,visit,방문하다
86,store,"상점, 저장하다"
87,start,시작하다
88,sound,"소리, 들리다"
89,watch,주시하다
90,point,"핵심, 가리키다"
91,light,"빛, 가벼운"
92,land,착륙하다
93,present,"현재, 선물"
94,turn,"차례, 회전하다"
95,middle,중간의
96,fly,"날다, 파리"
97,favorite,좋아하는
98,begin,시작하다
99,enjoy,즐기다
100,grow,자라다
101,win,"이기다, 획득하다"
102,believe,믿다
103,understand,이해하다
104,worry,걱정하다
105,warm,따뜻한
106,save,"구하다, 저장하다"
107,clean,청소하다
108,please,만족시키다
109,own,"자신의, 소유하다"
110,easy,쉬운
111,interesting,흥미로운
112,poor,"가난한, 어설픈"
113,famous,유명한
114,such,"그러한, 그렇게"
115,special,특별한
116,just,"단지, 정당한"
117,fast,빠른
118,back,"뒤, 등"
119,only,"오직, 유일한"
120,always,항상
121,village,마을
122,neighbor,"이웃, 동네"
123,forest,숲
124,pet,애완동물
125,leaf,나뭇잎
126,bottle,병
127,vegetable,채소
128,art,"예술, 기술"
129,office,사무실
130,poem,시
131,machine,기계
132,subject,"과목, 주제"
133,area,"지역, 영역"
134,weekend,주말
135,piece,조각
136,price,왕자
137,grace,"은혜, 은총"
138,custom,관습
139,spring,"봄, 샘물, 튀다"
140,fact,사실
141,rock,"바위, 흔들다"
142,rule,"규칙, 통치하다"
143,line,선
144,break,"깨다, 휴식"
145,exercise,운동하다
146,check,확인하다
147,end,"끝, 목적"
148,stay,머물다
149,cook,요리하다
150,bring,가져오다
151,fall,"떨어지다, 가을"
152,build,"짓다, 축적하다"
153,front,"앞, 전면"
154,join,합류하다
155,second,"두 번째, 초"
156,lose,"지다, 길을 잃다"
157,cold,"추운, 감기"
158,die,죽다
159,happen,일어나다
160,half,절반의
161,leave,"떠나다, 방치하다"
162,few,거의 없는
163,remember,기억하다
164,both,둘 다
165,wear,"입다, 닳다"
166,sick,아픈
167,move,움직이다
168,busy,바쁜
169,send,보내다
170,real,"실제의, 진정한"
171,large,"큰, 거대한"
172,wrong,잘못된
173,hot,"뜨거운, 매운"
174,most,대부분의
175,early,일찍
176,late,늦은
177,often,"종종, 자주"
178,together,함께
179,sometimes,때때로
180,even,"심지어, 평평한"
181,health,건강
182,brain,두뇌
183,holiday,휴일
184,voice,목소리
185,gift,"선물, 재능"
186,opinion,의견
187,field,"분야, 들판"
188,age,"나이, 노화"
189,site,"위치, 유적"
190,century,"세기, 100년"
191,goal,목표
192,event,"사건, 행사"
193,effect,효과
194,dish,"접시, 요리"
195,sign,"신호, 징조"
196,toy,"장난감, 장난치다"
197,report,보고하다
198,subway,지하철
199,order,"주문, 명령, 질서"
200,hundred,백(100)
201,experience,경험하다
202,thousand,"천(1,000)"
203,result,결과
204,rest,"쉬다, 나머지"
205,ride,"타다, 주행하다"
206,waste,"낭비하다, 쓰레기"
207,wish,소망하다
208,surprise,놀라게 하다
209,human,인간
210,bear,"견디다, 낳다"
211,past,"과거, 지난"
212,fight,싸우다
213,carry,"휴대하다, 옮기다"
214,buy,"사다, 구매하다"
215,draw,"그리다, 당기다"
216,sell,"팔다, 팔리다"
217,spend,"쓰다, 보내다"
218,follow,"따르다, 추적하다"
219,wait,기다리다
220,miss,"놓치다, 그리워하다"
221,decide,결정하다
222,close,"가까운, 닫다"
223,choose,고르다
224,free,"자유로운, 무료의"
225,TRUE,진실한
226,upset,언짢은
227,popular,인기 있는
228,healthy,건강한
229,difficult,어려운
230,delicious,맛있는
231,foreign,외국의
232,sad,슬픈
233,able,능력 있는
234,careful,주의 깊은
235,full,가득 찬
236,ready,준비 된
237,usually,대게
238,away,"멀리, 떨어진"
239,never,결코 ~아닌
240,however,하지만
241,president,대통령
242,teenager,십대
243,diary,일기
244,arm,"팔, 무기, 무장하다"
245,cartoon,만화
246,skill,기술
247,meal,식사
248,factory,공장
249,character,"문자, 성격"
250,prize,"상, 상을 주다"
251,reason,이유
252,chance,"기회, 가능성"
253,ground,"지면, 기반"
254,shape,"모양, 형태"
255,community,공동체
256,difference,"차이, 차별"
257,glass,유리
258,wall,벽
259,weight,무게
260,contest,경연
261,control,통제하다
262,race,"경주, 인종"
263,step,단계
264,smell,냄새가 나다
265,matter,"문제, 중요하다"
266,interest,흥미롭게 하다
267,match,"어울리다, 필적하다"
268,judge,판단하다
269,set,"설치하다, 정하다"
270,cause,"원인, 유발하다"
271,catch,잡다
272,cover,"덮다, 다루다"
273,hold,"유지하다, 껴안다"
274,travel,"여행하다, 이동하다"
275,pick,"줍다, 고르다"
276,guess,추측하다
277,teach,가르치다
278,finish,끝마치다
279,agree,동의하다
280,wash,닦다
281,invent,발명하다
282,introduce,"소개하다, 도입하다"
283,welcome,환영하다
284,hurt,상처를 주다(받다)
285,bright,밝은
286,tired,피곤한
287,smart,영리한
288,proud,"거만한, 당당한"
289,wise,현명한
290,dirty,더러운
291,hungry,배고픈
292,angry,화난
293,fine,"훌륭한, 벌금"
294,modern,현대의
295,pretty,"예뿐, 매우"
296,useful,유용한
297,still,"여전히, 정지한"
298,soon,곧
299,later,나중에
300,once,"한때, 일단 ~하면"
301,environment,환경
302,clerk,점원
303,pollution,"오염, 공해"
304,foot,발
305,lake,호수
306,company,"회사, 교제"
307,desert,"사막, 버리다"
308,garage,차고
309,insect,곤충
310,palace,왕궁
311,accident,"사건, 사고, 우연"
312,hole,구멍
313,college,대학
314,bill,"지폐, 계산서, 법안"
315,exam,시험
316,seed,씨앗
317,advice,충고
318,medicine,"약, 의학"
319,hobby,취미
320,luck,"운, 행운"
321,form,"형태, 형성하다"
322,meaning,의미
323,mark,"표시, 기록"
324,volunteer,자원하다
325,board,"판자, 탑승하다"
326,view,"보다, 견해"
327,post,게시하다
328,lie,"눕다, ~에 있다"
329,laugh,"웃다, 비웃다"
330,act,행동하다
331,excuse,"변명, 용서"
332,pay,지불하다
333,pass,"지나가다, 통과하다"
334,shout,외치다
335,drive,운전하다
336,cross,교차하다
337,receive,"받다, 수령하다"
338,seem,보이다
339,kill,죽이다
340,invite,초대하다
341,climb,"오르다, 등산하다"
342,arrive,도착하다
343,add,"더하다, 추가하다"
344,collect,"모으다, 수집하다"
345,fat,"뚱뚱한, 지방"
346,rich,부유한
347,dark,어두운
348,blind,눈이 먼
349,whole,전체의
350,heavy,무거운
351,afraid,"두려운, 유감의"
352,terrible,끔찍한
353,physical,물리적인
354,strange,"이상한, 낯선"
355,dangerous,위험한
356,possible,가능한
357,off,"떨어져, 끊어져"
358,maybe,아마도
359,over,"~위에, ~이상"
360,ago,~전에
361,sense,"감각, 감지하다"
362,truth,진실
363,pleasure,"기쁨, 즐거움"
364,success,성공
365,image,"영상, 이미지"
366,friendship,우정
367,map,지도
368,being,존재
369,project,"계획, 영사하다"
370,goods,상품
371,traffic,교통
372,coin,동전
373,safety,안전
374,bank,"은행, 둑, 제방"
375,spaceship,우주선
376,address,"주소, 연설하다"
377,rainbow,무지개
378,electricity,전기
379,million,백만
380,law,법
381,model,"모범, 모형"
382,campaign,"군사행동, 유세"
383,type,유형
384,sentence,"문장, 판결하다"
385,block,"막다, 차단하다"
386,heat,"열, 가열하다"
387,seat,앉히다
388,circle,원
389,touch,"만지다, 감동시키다"
390,reach,도착하다
391,wonder,의아해하다
392,mix,"섞다, 혼합하다"
393,magic,"마법의, 마술"
394,excite,흥분시키다
395,secret,"비밀, 비결"
396,rise,오르다
397,general,"일반적인, 장군"
398,lead,이끌다
399,prepare,준비하다
400,enter,들어가다
401,imagine,상상하다
402,fill,채우다
403,forget,잊다
404,produce,생산하다
405,develop,"발전하다, 계발하다"
406,cool,"시원한, 식히다"
407,recycle,재활용하다
408,slow,"느린, 더딘"
409,several,몇몇의
410,clear,"깨끗한, 분명한"
411,funny,재미있는
412,FALSE,거짓의
413,safe,"안전한, 금고"
414,national,국가의
415,enough,충분한
416,main,주요한
417,loud,"큰, 시끄러운"
418,almost,거의
419,far,"먼, 멀리 떨어진"
420,finally,"마침내, 결국"
421,library,"도서관, 서재"
422,peace,평화
423,museum,박물관
424,beauty,아름다움
425,ocean,"바다, 대양"
426,sight,"시각, 시력, 견해"
427,bone,뼈
428,nation,국가
429,bath,목욕하다
430,foreigner,외국인
431,pity,유감
432,lend,빌리다
433,proverb,속담
434,magazine,잡지
435,product,제품
436,storm,폭풍
437,invention,발명
438,straw,"빨대, 지푸라기"
439,technology,기술
440,disease,질병
441,trash,쓰레기
442,respect,존중하다
443,moment,순간
444,reply,대답하다
445,date,날짜
446,record,기록하다
447,taste,맛이 나다
448,cheer,응원하다
449,balance,균형
450,shake,흔들다
451,ring,울리다
452,key,"열쇠, 핵심"
453,share,"나누다, 공유하다"
454,square,사각형
455,return,"돌아오다, 반납하다"
456,wake,깨어나다
457,lift,들어 올리다
458,discover,발견하다
459,raise,"올리다, 기르다"
460,solve,"풀다, 해결하다"
461,explain,설명하다
462,continue,계속하다
463,marry,결혼하다
464,burn,"타다, 태우다"
465,exciting,흥미로운
466,simple,"간단한, 검소한"
467,common,"공통의, 흔한"
468,quiet,조용한
469,global,세계의
470,traditional,전통적인
471,regular,규칙적인
472,international,국제적인
473,serious,"심각한, 진지한"
474,huge,"거대한, 엄청난"
475,fresh,신선한
476,amazing,놀라운
477,probably,아마도
478,instead,대신에
479,else,그 밖의
480,suddenly,갑자기
481,bridge,"다리, 연결하다"
482,creature,"생물, 생명체"
483,ghost,유령
484,police,경찰
485,scene,장면
486,army,군인
487,effort,노력
488,society,사회
489,wisdom,지혜
490,fan,"애호가, 부채"
491,fault,"실수, 잘못"
492,wheel,바퀴
493,flight,"비행, 비행하다"
494,pair,"쌍, 짝"
495,zoo,동물원
496,joy,즐거움
497,candle,"초, 양초"
498,memory,"기억, 기억력"
499,bottom,바닥
500,recipe,조리법
501,mistake,실수
502,kid,아이
503,trouble,"문제, 골칫거리"
504,smoke,연기
505,bat,"방망이, 치다"
506,favor,"애호, 선호"
507,blow,"불다, 타격하다"
508,trick,"속임수, 비결"
509,flood,"넘쳐흐르다, 홍수"
510,experiment,실험
511,hurry,서두르다
512,drop,"방울, 떨어뜨리다"
513,treat,"다루다, 대접하다"
514,press,"누르다, 압박하다"
515,express,표현하다
516,stick,"막대기, 찌르다"
517,breathe,호흡하다
518,roll,구르다
519,hate,미워하다
520,serve,제공하다
521,create,"창조하다, 만들다"
522,improve,"개선하다, 나아지다"
523,divide,"나누다, 분할하다"
524,realize,"깨닫다, 실현하다"
525,soft,부드러운
526,dry,"마른, 건조한"
527,empty,"텅 빈, 비우다"
528,complete,완성하다
529,perfect,완벽한
530,lucky,운 좋은
531,successful,성공적인
532,natural,"자연의, 당연한"
533,everyday,매일
534,friendly,"친절한, 친근한"
535,low,낮은
536,cute,귀여운
537,alone,혼자
538,already,이미
539,inside,"내부, 내부의"
540,especially,특히
541,hometown,고향
542,couple,한 쌍
543,yard,"마당, 뜰"
544,honey,꿀
545,grocery,식료품
546,tourist,관광객
547,fairy,요정
548,gate,"문, 입구"
549,flag,깃발
550,background,배경
551,manner,"방법, 예절"
552,capital,"수도, 자본"
553,noise,소음
554,valley,계곡
555,pain,고통
556,direction,"방향, 지침"
557,danger,위험
558,distance,거리
559,guide,안내하다
560,behavior,행동
561,coach,코치
562,object,"물체, 대상"
563,note,"기록, 음표, 주목"
564,dictionary,사전
565,count,"셈하다, 중요하다"
566,tear,"눈물, 찢다"
567,sail,항해하다
568,honor,"명예, 존경"
569,promise,약속하다
570,increase,증가하다
571,repeat,반복하다
572,bite,물다
573,bake,굽다
574,male,남성의
575,gather,모으다
576,native,토착의
577,succeed,"성공하다, 계승하다"
578,disappoint,실망시키다
579,protect,보호하다
580,shine,빛나다
581,advertise,광고하다
582,fix,"고치다, 고정하다"
583,disappear,사라지다
584,pour,쏟아 붓다
585,electric,"전기의, 전자의"
586,allow,허락하다
587,lovely,사랑스러운
588,prevent,"예방하다, 막다"
589,thin,"마른, 가는"
590,certain,특정한
591,round,둥근
592,mental,정신의
593,deep,깊은
594,comfortable,편안한
595,wide,넓은
596,expensive,비싼
597,yet,아직
598,therefore,그러므로
599,quickly,빠르게
600,everywhere,어디서나
601,action,"행동, 조치"
602,hero,영웅
603,talent,재능
604,ability,능력
605,choice,선택
606,knowledge,지식
607,slave,노예
608,technique,기술
609,situation,상황
610,floor,"층, 바닥"
611,pride,자부심
612,cancer,암
613,tip,"조언, 끝부분"
614,diet,"식단, 다이어트"
615,stair,계단
616,garbage,쓰레기
617,soil,"흙, 토양"
618,cash,현금
619,master,"주인, 숙달하다"
620,countryside,"시골, 교외"
621,suit,"소송, 적합하다"
622,route,"길, 경로"
623,notice,알아채다
624,amount,양
625,bow,절하다
626,score,"점수, 득점하다"
627,rush,돌진하다
628,challenge,"도전, 고난"
629,adult,성인
630,cure,치료하다
631,principal,"주요한, 교장"
632,appear,나타나다
633,folk,"사람들, 평민"
634,spread,퍼지다
635,material,물질적인
636,hunt,사냥하다
637,standard,"기준, 표준"
638,destroy,파괴하다
639,stiff,뻣뻣한
640,consider,"여기다, 고려하다"
641,accept,받아들이다
642,expect,예상하다
643,obey,복종하다
644,suggest,제안하다
645,hide,숨기다
646,cultural,문화의
647,basic,기본적인
648,social,사회의
649,local,지역의
650,elderly,"나이든, 구식의"
651,boring,지루한
652,unhappy,불행한
653,weak,약한
654,crazy,"미친, 열광한"
655,quick,빠른
656,alive,살아있는
657,easily,쉽게
658,outside,"외곽, 밖"
659,abroad,"외국에, 해외로"
660,quite,"꽤, 매우"
661,host,"주인, 진행자"
662,god,신
663,athlete,운동선수
664,guest,손님
665,audience,"청중, 관객"
666,diver,잠수부
667,temperature,온도
668,blood,피
669,cell,"세포, 전지"
670,pool,웅덩이
671,transportation,"운송, 수송"
672,temple,"사원, 신전"
673,bowl,그릇
674,thought,생각
675,brick,벽돌
676,crop,"곡식, 작물"
677,planet,행성
678,sheet,(종이 등의) 장
679,tail,꼬리
680,quarter,1/4
681,wing,날개
682,crowd,군중
683,purpose,"목적, 용도"
684,care,관심을 갖다
685,decision,결정
686,strike,"치다, 파업"
687,frighten,깜짝 놀란
688,relative,"상대적인, 친척"
689,scare,두렵게 하다
690,patient,"인내심이 있는, 환자"
691,slip,미끄러지다
692,gain,얻다
693,melt,녹다
694,provide,제공하다
695,pollute,오염시키다
696,dig,파다
697,affect,영향을 주다
698,explore,탐구(탐험)하다
699,depend,의지하다
700,warn,경고하다
701,manage,관리하다
702,recognize,인식(인정)하다
703,fit,"적당한, 건강한"
704,celebrate,축하하다
705,correct,수정하다
706,stupid,멍청한
707,surprising,놀라운
708,helpful,유용한
709,active,"활동적인, 적극적인"
710,convenient,편리한
711,colorful,화려한
712,impossible,불가능한
713,wet,젖은
714,medical,의학의
715,wild,야생의
716,outdoor,야외
717,daily,매일의
718,forever,영원히
719,straight,"곧은, 직선의"
720,indeed,실제로
721,wood,"나무, 목재"
722,lawyer,변호사
723,cave,동굴
724,officer,경관
725,tomb,무덤
726,university,대학교
727,tool,도구
728,level,수준
729,satellite,인공위성
730,growth,성장
731,communication,의사소통
732,journey,여행
733,wealth,"부, 재산"
734,gun,총
735,attention,관심
736,emergency,응급상황
737,miracle,기적
738,case,"사례, 경우"
739,stream,"시내, 냇물"
740,difficulty,어려움
741,wave,"파도, 파장"
742,addition,"추가, 첨가"
743,value,"가치, 귀중히 여기다"
744,credit,"신용, 학점, 인정"
745,beat,물리치다
746,fool,"바보, 속이다"
747,support,지지(지탱)하다
748,harvest,수확하다
749,chemical,화학의
750,figure,"숫자, 모양, 인물"
751,female,여성의
752,tie,"묶다, 유대"
753,fair,공정한
754,boil,끓이다
755,respond,반응(응답)하다
756,borrow,빌리다
757,deliver,전달(배달)하다
758,belong,속하다
759,fold,접다
760,communicate,"소통하다, 전하다"
761,include,포함하다
762,confuse,혼동시키다
763,earn,"벌다, 얻다"
764,survive,생존하다
765,bet,"내기하다, 단언하다"
766,handsome,잘생긴
767,calm,"고요한, 침착한"
768,gentle,정중한
769,direct,"지시하다, 직접적인"
770,mad,미친
771,sweet,달콤한
772,merry,기쁜
773,thick,두꺼운
774,noisy,시끄러운
775,abstract,추상적인
776,scientific,과학적인
777,someday,어느 날
778,mostly,대게
779,nowadays,요즘
780,anywhere,어디서나
781,captain,"선장, 주장"
782,population,인구
783,stranger,낯선 사람
784,coast,해변
785,statue,동상
786,bucket,양동이
787,spirit,정신
788,cart,수레
789,scenery,"배경, 풍경"
790,cage,우리
791,gesture,몸짓
792,screen,"가리다, 차단하다"
793,pole,기둥
794,kite,연
795,rubber,고무
796,autumn,가을
797,structure,구조
798,breeze,산들바람
799,root,뿌리
800,mess,"혼란, 엉망"
801,schedule,일정
802,litter,더럽히다
803,tour,관광하다
804,joke,농담
805,charge,"충전하다, 부과하다"
806,hike,걷다
807,decrease,줄어들다
808,fear,두려움
809,review,복습하다
810,offer,제공(제안)하다
811,vote,투표하다
812,remain,여전히 ~이다
813,attend,참석하다
814,repair,수리하다
815,discuss,토론하다
816,blank,"공허한, 빈칸"
817,settle,정착하다
818,final,마지막의
819,elect,선거하다
820,public,공공의
821,achieve,이루다
822,bend,구부리다
823,appreciate,"감사하다, 인정하다"
824,float,"뜨다, 표류하다"
825,brave,용감한
826,bark,"짖다, 나무껍질"
827,cheap,값싼
828,concentrate,집중하다
829,classical,고전의
830,dead,죽은
831,familiar,친숙한
832,personal,개인적인
833,unknown,미지의
834,historic,역사적인
835,uncomfortable,불편한
836,western,서쪽의
837,simply,단순히
838,ahead,"앞에, 앞서서"
839,anyway,어쨌든
840,exactly,정확히
841,government,정부
842,climate,기후
843,stomach,"위, 위장"
844,degree,"정도, 학위"
845,flour,밀가루
846,article,"기사, 물품"
847,doll,인형
848,metal,금속의
849,cyberspace,우주공간
850,monster,괴물
851,strength,"힘, 체력"
852,treasure,"보물, 귀중히 여기다"
853,will,"~할 것이다, 유언장"
854,symbol,상징
855,development,"발전, 개발"
856,ceremony,의식
857,engineering,공학
858,congratulation,축하
859,edge,"가장자리, 우세"
860,breath,호흡
861,pattern,"모범, 모형, 양식"
862,death,죽음
863,alarm,"경보, 경계"
864,headache,두통
865,dot,점
866,muscle,근육
867,cost,비용
868,base,"기본, 기초"
869,focus,"초점, 집중"
870,lock,잠그다
871,shock,충격을 주다
872,dislike,싫어하다
873,reward,보답(보상)하다
874,feed,먹이를 주다
875,impress,인상을 주다
876,rent,임대하다
877,replace,교체(대체)하다
878,suffer,고통을 주다
879,fail,실패하다
880,hang,매달다
881,skip,건너뛰다
882,wrap,포장하다
883,necessary,필수적인
884,pleasant,유쾌한
885,elementary,"기본의, 초등의"
886,lonely,외로운
887,fantastic,환상적인
888,thirsty,목마른
889,tasty,맛있는
890,polite,정중한
891,flat,평평한
892,rude,무례한
893,tough,"거친, 강인한"
894,excellent,훌륭한
895,outstanding,탁월한
896,overweight,과체중의
897,forward,앞으로
898,perhaps,아마도
899,badly,"심하게, 나쁘게"
900,twice,"두 번, 두 배"
901,heaven,"하늘, 천국"
902,generation,세대
903,tenant,세입자
904,self,자아
905,helicopter,헬리콥터
906,maxim,격언
907,sand,모래
908,portrait,초상화
909,castle,성
910,fist,주먹
911,kindness,친절
912,darkness,어둠
913,concentration,"집중, 농도"
914,earthquake,지진
915,mystery,불가사의
916,weapon,무기
917,battle,"전투, 싸우다"
918,charity,자선단체
919,industry,산업
920,saying,속담
921,chat,잡담하다
922,issue,"문제, 발행하다"
923,puzzle,당혹하게 하다
924,signal,신호를 보내다
925,bloom,"꽃, 개화하다"
926,exchange,교환하다
927,advance,진보
928,swallow,"삼키다, 제비"
929,graduate,졸업하다
930,average,평균적인
931,predict,예측(예언)하다
932,official,공식적인
933,compare,비교하다
934,gray,"화색, 회색의"
935,complain,불평하다
936,prefer,선호하다
937,forgive,용서하다
938,relax,쉬다
939,determine,결정하다
940,reduce,줄이다
941,exist,존재하다
942,bury,묻다
943,holy,신성한
944,shoot,쏘다
945,upper,위쪽의
946,yell,고함을 지르다
947,central,중심의
948,powerful,강력한
949,normal,"정상적인, 평범한"
950,faithful,신뢰할만한
951,similar,비슷한
952,creative,창의적인
953,honest,정직한
954,deaf,귀가 먼
