번호,단어,의미
955,ashamed,부끄러운
956,electronic,전자의
957,anymore,"이제는, 더 이상"
958,nearly,거의
959,besides,"게다가, 더욱이"
960,happily,행복하게
961,ancestor,조상
962,birth,"출생, 탄생"
963,chairperson,의장
964,childhood,어린 시절
965,customer,"손님, 고객"
966,education,교육
967,astronaut,우주비행사
968,emotion,감정
969,dynasty,왕조
970,attitude,태도
971,furniture,가구
972,courage,용기
973,drug,약
974,condition,"상태, 조건"
975,greenhouse,온실
976,fever,열
977,harmony,조화
978,conversation,대화
979,dirt,먼지
980,adventure,모험
981,shot,주사
982,triangle,삼각형
983,curve,"휘어진, 굴곡진"
984,bulb,전구
985,stuff,"물건, 속을 채우다"
986,attack,공격하다
987,pack,"싸다, 포장하다"
988,cough,"기침, 기침하다"
989,spill,"쏟다, 엎지르다"
990,flow,흐르다
991,debate,"토론, 토론하다"
992,search,조사(검색)하다
993,whisper,속삭이다
994,original,"본래의, 참신한"
995,lay,"눕히다, ~에 두다"
996,opposite,정반대의
997,pardon,"용서, 용서하다"
998,jog,"뛰다, 달리다"
999,beg,간청(구걸)하다
1000,scan,조사하다
1001,relate,관련시키다
1002,describe,묘사하다
1003,intelligent,지적인
1004,freeze,얼다
1005,eager,열망하는
1006,remove,제거하다
1007,disabled,불구의
1008,single,단 하나의
1009,homeless,집 없는
1010,positive,긍정적인
1011,harmful,해로운
1012,ugly,추한
1013,lifelong,평생에 걸친
1014,northern,북쪽의
1015,nervous,초조한
1016,nearby,근처에
1017,seldom,거의 ~아닌
1018,upside down,거꾸로
1019,somewhere,어딘가
1020,downtown,시내
1021,thief,도둑
1022,manager,관리자
1023,lifetime,일생
1024,shore,해안
1025,career,"직업, 경력"
1026,sunrise,"일출, 해돋이"
1027,fitness,"건강, 적당"
1028,lighting,조명
1029,economy,경제
1030,wire,"배선, 배선하다"
1031,fur,"모피, 털"
1032,stage,무대
1033,engine,엔진
1034,zone,지역
1035,balloon,풍선
1036,height,"키, 높이"
1037,border,"국경, 경계"
1038,prediction,"예측, 예언"
1039,disaster,재앙
1040,marriage,결혼
1041,forecast,예상(예보)하다
1042,period,"기간, 마침표"
1043,quarrel,"싸움, 다툼"
1044,claim,주장하다
1045,harm,해를 입히다
1046,deal,거래
1047,glue,접착제
1048,limit,제한하다
1049,regard,간주하다
1050,tap into,활용하다
1051,sink,가라앉다
1052,spray,뿌리다
1053,characteristic,"특성 있는, 특성"
1054,weigh,무게가 나가다
1055,professional,전문적인
1056,pray,기도하다
1057,encourage,격려하다
1058,greet,인사하다
1059,reflect,반사(반영)하다
1060,chew,씹다
1061,slide,미끄러지다
1062,attract,끌어들이다
1063,stretch,쭉 뻗다
1064,overcome,극복하다
1065,steal,훔치다
1066,salty,짠
1067,comic,"희극의, 만화의"
1068,southern,남쪽의
1069,anxious,"걱정하는, 열망하는"
1070,curious,호기심이 있는
1071,asleep,잠든
1072,humorous,유머 있는
1073,effective,효과적인
1074,foolish,멍청한
1075,due to,~때문에
1076,greedy,탐욕스러운
1077,actually,실제로
1078,valuable,귀중한
1079,rather,"오히려, 다소"
1080,certainly,분명히
1081,agent,"대리, 대행"
1082,architect,건축가
1083,politics,정치학
1084,narrator,해설자
1085,reality,현실
1086,enemy,적
1087,relationship,관계
1088,throat,"목, 성대"
1089,role,역할
1090,illness,질병
1091,theater,극장
1092,weed,잡초
1093,performance,"실적, 공연"
1094,humor,유머
1095,cast,던지다
1096,volcano,화산
1097,reservation,"예약, 보류"
1098,kingdom,왕국
1099,sightseeing,관광
1100,attempt,시도하다
1101,path,"길, 통로"
1102,award,수상(수여)하다
1103,source,"자원, 근원"
1104,broadcast,방송하다
1105,proof,증거
1106,aid,돕다
1107,term,"용어, 기간"
1108,nod,끄덕이다
1109,net,그물
1110,escape,탈출하다
1111,trust,신뢰하다
1112,envy,부러워하다
1113,crash,충돌하다
1114,measure,측정하다
1115,hatch,부화하다
1116,chief,"우두머리, 주요한"
1117,clap,박수치다
1118,total,전체의
1119,announce,"알리다, 고지하다"
1120,worth,"가치, 가치 있는"
1121,represent,"나타내다, 대표하다"
1122,embarrass,난처하게 하다
1123,devote,"바치다, 헌신하다"
1124,erupt,붕괴하다
1125,peaceful,평화로운
1126,perform,"실행하다, 공연하다"
1127,painful,고통스러운
1128,publish,출판하다
1129,sharp,날카로운
1130,silent,조용한
1131,responsible,책임감이 있는
1132,silly,어리석은
1133,lazy,게으른
1134,scary,무서운
1135,likely,가능성이 있는
1136,sore,"아픈, 쑤시는"
1137,completely,"완벽히, 완전히"
1138,bitter,"쓰라린, 혹독한"
1139,immediately,즉시
1140,lately,"요즈음, 최근"
1141,landscape,"풍경, 경치"
1142,happiness,행복
1143,construction,건설
1144,freedom,자유
1145,mood,"기분, 감정"
1146,independence,"독립, 자립"
1147,excitement,"흥분, 흥미"
1148,imagination,"상상, 상상력"
1149,complaint,불평
1150,importance,중요
1151,confidence,자신감
1152,speech,"말, 연설"
1153,invasion,"침입, 침략"
1154,silence,"침묵, 고요"
1155,container,"용기, 그릇"
1156,invitation,초대
1157,ash,재
1158,exhibition,"전시, 전시회"
1159,bar,"방망이, 빗장"
1160,sculpture,조각
1161,contact,접촉하다
1162,region,"지방, 지역"
1163,benefit,"이익, 이득"
1164,position,"자세, 위치"
1165,damage,"피해, 손해"
1166,research,조사하다
1167,supply,공급하다
1168,aim,"목표, 겨냥하다"
1169,demand,요구하다
1170,moral,"도덕, 도덕적인"
1171,lack,"부족, 부족하다"
1172,extra,여분의
1173,conflict,갈등
1174,arrange,"배열하다, 조율하다"
1175,spin,회전하다
1176,advise,충고하다
1177,scratch,"긁다, 할퀴다"
1178,recommend,추천하다
1179,suppose,가정하다
1180,declare,선언하다
1181,refer,참고하다
1182,prove,증명하다
1183,ruin,"파멸, 폐허"
1184,injure,다치게 하다
1185,rid,제거하다
1186,connect,연결하다
1187,tight,"꼭 끼는, 빈틈없는"
1188,hug,끌어 안다
1189,brilliant,"훌륭한, 총명한"
1190,foggy,안개 낀
1191,specific,구체적인
1192,neat,"깔끔한, 단정한"
1193,unusual,"유별난, 비범한"
1194,loose,"느슨한, 헐거운"
1195,negative,부정적인
1196,endangered,위기에 처한
1197,royal,왕족의
1198,bound,"경계, 범위"
1199,partly,부분적으로
1200,recently,최근에
1201,merchant,상인
1202,peer,"동년배, 또래"
1203,heritage,유산
1204,pressure,압박
1205,organization,"조직, 기관"
1206,association,"연합, 제휴"
1207,kindergarten,유치원
1208,playground,"운동장, 놀이터"
1209,management,"관리, 경영"
1210,pond,연못
1211,operation,"수술, 운영, 작동"
1212,harbor,항구
1213,mission,임무
1214,frame,"틀, 구조, 골격"
1215,means,"수단, 방법"
1216,hammer,망치
1217,payment,지불
1218,expression,표현
1219,merit,"가치, 장점"
1220,quality,"질, 자질"
1221,mirror,거울
1222,movement,"움직임, 운동"
1223,ladder,사다리
1224,package,꾸러미
1225,ingredient,재료
1226,survey,조사하다
1227,index,"지침, 색인, 검지"
1228,panic,"당환, 공항"
1229,behave,행동하다
1230,sigh,한숨을 쉬다
1231,compete,경쟁하다
1232,rinse,헹구다
1233,argue,"주장하다, 논쟁하다"
1234,appeal,"매력, 호소하다"
1235,release,"놓아주다, 배출하다"
1236,sweep,"청소하다, 휩쓸다"
1237,pretend,~인 체하다
1238,consist,"구성되다, 있다"
1239,conclude,결론짓다
1240,unify,통합하다
1241,observe,"관찰하다, 준수하다"
1242,depress,우울하게 하다
1243,spicy,"짜릿한, 통쾌한"
1244,blame,비난하다(받다)
1245,terrific,"멋진, 빼어난"
1246,smooth,부드러운
1247,steady,꾸준한
1248,wooden,나무의
1249,spare,"아끼다, 여분의"
1250,helpless,무기력한
1251,unique,독특한
1252,incredible,믿을 수 없는
1253,unnecessary,불필요한
1254,available,이용 가능한
1255,ill,아픈
1256,ancient,고대의
1257,underground,"지하, 지하의"
1258,recent,최근의
1259,sincerely,진심으로
1260,thus,"따라서, 이렇게"
1261,wildlife,야생
1262,dinosaur,공룡
1263,sunset,"일몰, 해넘이"
1264,ruler,"통치자, 지배자"
1265,horizon,"지평선, 수평선"
1266,admiral,"해군 장성, 제독"
1267,steam,증기
1268,liberty,자유
1269,warmth,"온기, 따뜻함"
1270,unification,"통합, 단일화"
1271,statement,"진술, 문장"
1272,trial,"시도, 재판"
1273,response,반응(대응)하다
1274,treatment,치료
1275,task,과제
1276,shelter,"은신처, 피난하다"
1277,security,"안전, 보안"
1278,orphanage,고아원
1279,needle,바늘
1280,item,물품
1281,branch,"가지, 분점"
1282,firewood,땔감
1283,thread,실
1284,dessert,"디저트, 후식"
1285,row,"줄, 열"
1286,range,범위
1287,yawn,하품하다
1288,rumor,소문
1289,rub,문지르다
1290,vehicle,"차량, 탈것, 수단"
1291,wipe,닦다
1292,sew,꿰매다
1293,operate,"운영하다, 수술하다"
1294,associate,"관련짓다, 연상하다"
1295,contain,"담다, 포함하다"
1296,identify,식별(분간)하다
1297,preserve,"보존하다, 예약하다"
1298,mention,언급하다
1299,refuse,거절하다
1300,establish,"세우다, 정하다"
1301,remind,상기시키다
1302,unite,결합하다
1303,bother,괴롭히다
1304,frustrate,좌절시키다
1305,tiny,미세한
1306,blond,금발의
1307,curly,곱슬머리의
1308,cheerful,유쾌한
1309,rapid,빠른
1310,careless,부주의한
1311,shy,수줍은
1312,dull,"무딘, 우둔한"
1313,eastern,동쪽의
1314,disgusting,역겨운
1315,violent,폭력적인
1316,willing,자발적인
1317,worldwide,세계적인
1318,golden,황금의
1319,highly,매우
1320,apart,떨어져서
1321,lung,폐
1322,passenger,승객
1323,passport,여권
1324,continent,대륙
1325,photo,사진
1326,port,항구
1327,envelope,봉투
1328,cooperation,"협력, 협동"
1329,attendant,"수행원, 참석자"
1330,competition,"경쟁, 경연"
1331,appointment,약속
1332,convenience,"편의, 편리"
1333,midnight,자정
1334,curiosity,호기심
1335,skyscraper,고층건물
1336,suicide,자살하다
1337,chimney,굴뚝
1338,bullet,총알
1339,fence,울타리
1340,backbone,"등뼈, 척추"
1341,evidence,증거
1342,descendant,"자손, 후예"
1343,feature,"특징, 주연시키다"
1344,collection,"수집, 소장품"
1345,flavor,"맛, 맛을 내다"
1346,desire,"바라다, 갈망하다"
1347,leap,도약하다
1348,export,수출하다
1349,leak,새어나오다
1350,stare,응시하다
1351,scream,비명을 지르다
1352,deceive,속이다
1353,refresh,충전하다
1354,commit,저지르다
1355,occur,일어나다
1356,twist,비틀다
1357,obtain,얻다
1358,decorate,장식하다
1359,intend,의도하다
1360,convert,전환하다
1361,lower,낮추다
1362,tend,~하는 경향이 있다
1363,lean,기대다
1364,firm,"단호한, 회사"
1365,equal,"같은, 평등한"
1366,senior,"손위의, 선배의"
1367,separate,분리하다
1368,major,주요한
1369,hard-working,열심히 일하는
1370,minor,"사소한, 소수의"
1371,hopeless,희망 없는
1372,individual,"개인, 개인의"
1373,various,다양한
1374,grand,"웅대한, 장엄한"
1375,raw,날것의
1376,odd,"홀수의, 이상한"
1377,portable,휴대할 수 있는
1378,awkward,"서투른, 어색한"
1379,rarely,거의 ~아닌
1380,directly,직접적으로
1381,novel,"소설, 참신한"
1382,universe,우주
1383,grave,"무덤, 암울한"
1384,laughter,웃음
1385,crime,범죄
1386,knee,무릎
1387,prison,"감옥, 감금하다"
1388,gym,체육관
1389,blanket,"담요, 덮다"
1390,equipment,"장비, 설비"
1391,skin,피부
1392,rope,밧줄
1393,instance,"예, 사례"
1394,refrigerator,냉장고
1395,element,"요소, 성분"
1396,production,생산
1397,dozen,12개
1398,tradition,전통
1399,honesty,정직
1400,religion,종교
1401,duty,의무
1402,semester,학기
1403,failure,실패
1404,course,"과정, 강의"
1405,rate,비율
1406,flea,벼룩
1407,progress,"진행, 진보"
1408,plug,전기를 연결하다
1409,trade,거래하다
1410,ache,아픔
1411,doubt,"의심, 의심하다"
1412,handle,다루다
1413,march,행진하다
1414,pause,멈추다
1415,delay,지연시키다
1416,admire,감탄(칭찬)하다
1417,satisfy,만족시키다
1418,apologize,사과하다
1419,misunderstand,오해하다
1420,threaten,위협하다
1421,scold,꾸짖다
1422,arrest,체포하다
1423,apply,적용하다
1424,select,선택하다
1425,drown,익사하다
1426,narrow,"좁은, 좁히다"
1427,broad,"넓은, 광범위한"
1428,attractive,매력적인
1429,cruel,잔인한
1430,awful,"두려운, 불쾌한"
1431,private,사적인
1432,casual,격식 없는
1433,urgent,"긴급한, 급박한"
1434,capable,유능한
1435,military,"군, 군의"
1436,absent,결석의
1437,historical,역사적인
1438,alike,"같은, 마찬가지의"
1439,fully,"충분히, 완전히"
1440,otherwise,그렇지 않으면
1441,citizen,시민
1442,author,작가
1443,fare,"요금, 운임"
1444,secretary,"비서, 서기, 장관"
1445,tale,"이야기, 설화"
1446,beggar,거지
1447,suggestion,"제안, 시사"
1448,shepherd,양치기
1449,responsibility,"책임, 책임감"
1450,fable,우화
1451,risk,위험
1452,tongue,혀
1453,intelligence,지능
1454,departure,출국
1455,viewpoint,관점
1456,entrance,입구
1457,scissors,가위
1458,method,방법
1459,shell,껍질
1460,aptitude,적성
1461,surface,"표면, 떠오르다"
1462,victory,승리
1463,version,"판, 버전"
1464,chain,"사슬, 연쇄"
1465,account,"계산, 계좌"
1466,billion,10억
1467,influence,영향을 주다
1468,blossom,"꽃, 꽃을 피우다"
1469,fasten,"묶다, 조이다"
1470,praise,칭찬하다
1471,manufacture,제조하다
1472,wind,바람
1473,hire,고용하다
1474,require,요구하다
1475,examine,시험하다
1476,tremble,"떨다, 흔들리다"
1477,explode,폭발하다
1478,starve,굶주리다
1479,erase,지우다
1480,quit,그만두다
1481,interrupt,"가로막다, 중단하다"
1482,spoil,망치다
1483,deny,부인하다
1484,punish,벌하다
1485,former,이전의
1486,translate,"번역하다, 바꾸다"
1487,clever,"영리한, 영악한"
1488,wealthy,부유한
1489,distant,거리
1490,dependent,의존적인
1491,faint,"희미한, 기절한"
1492,mild,온화한
1493,double,두 배의
1494,harsh,혹독한
1495,entire,전체의
1496,informal,비공식적인
1497,frequent,빈번한
1498,lunar,달의
1499,possibly,아마도
1500,overseas,해외의
1501,client,고객
1502,counselor,"고문, 상담자"
1503,clown,광대
1504,opportunity,기회
1505,immigrant,"이주자, 이민자"
1506,literature,문학
1507,dragon,용
1508,illusion,"환상, 환각"
1509,nail,"손톱, 못"
1510,leisure,여가
1511,baggage,"짐, 수화물"
1512,shuttle,왕복선
1513,label,라벨을 붙이다
1514,location,위치
1515,coal,석탄
1516,laundry,세탁물
1517,bubble,거품
1518,germ,병균
1519,bug,"벌레, 곤충"
1520,length,길이
1521,dawn,새벽
1522,relation,관계
1523,detail,세부사항
1524,similarity,유사
1525,plenty,많은
1526,sort,분류하다
1527,delight,"기쁨, 즐거움"
1528,rental,"임대, 임대료"
1529,dispute,논쟁(반박)하다
1530,commercial,상업적인
1531,flame,"불꽃, 화염"
1532,ideal,이상적인
1533,flash,"번쩍이다, 섬광"
1534,complex,복잡한
1535,regret,후회하다
1536,junior,"손아래의, 후배의"
1537,bless,축복하다
1538,shut,"닫다, 막다"
1539,spell,철자를 쓰다
1540,bore,지루하게 하다
1541,surround,둘러싸다
1542,compose,작문(작곡)하다
1543,swear,맹세하다
1544,mend,"고치다, 수선하다"
1545,wander,"헤매다, 방랑하다"
1546,inform,"알리다, 공지하다"
1547,generous,관대한
1548,calculate,계산하다
1549,grateful,감사하는
1550,ordinary,평범한
1551,instant,즉각적인
1552,selfish,이기적인
1553,medium,"중간, 매체"
1554,strict,엄격한
1555,needy,"가난한, 어려운"
1556,sour,"신, 신맛의"
1557,illegal,불법적인
1558,solar,태양의
1559,either,"또한, 역시"
1560,neither,둘 다 ~아닌
1561,appetite,식욕
1562,conductor,지휘자
1563,beast,짐승
1564,court,"법정, 경기장"
1565,palm,손바닥
1566,dictation,"명령, 지시, 받아쓰기"
1567,lab,"연구실, 실험실"
1568,jam,"잼, 정체"
1569,institute,교육기관
1570,string,"끈, 줄"
1571,journalism,언론
1572,salary,급여
1573,outline,"개요, 윤곽"
1574,scale,"규모, 비늘, 저울"
1575,crosswalk,교차로
1576,spot,"지점, 식별하다"
1577,lyrics,가사
1578,shame,"부끄러움, 수치"
1579,charm,"매력, 주문"
1580,chemistry,화학
1581,force,"힘, 동력"
1582,import,수입하다
1583,function,"기능, 기능하다"
1584,load,짐을 싣다
1585,contrast,"대조, 대비"
1586,link,연결하다
1587,assist,"돕다, 지원하다"
1588,assistant,"조수, 보조"
1589,employ,고용(사용)하다
1590,liquid,액체
1591,govern,통치(지배)하다
1592,solid,"고체, 딱딱한"
1593,entertain,즐겁게 하다
1594,evil,"악, 악의"
1595,criticize,비판하다
1596,snap,"덥석 물다, 낚아채다"
1597,indicate,가리키다
1598,possess,소유하다
1599,react,반응하다
1600,contribute,기여(공헌)하다
1601,dare,감히 ~하다
1602,recover,회복하다
1603,obvious,"명백한, 뻔한"
1604,ignore,무시하다
1605,satisfactory,만족
1606,diligent,"근면한, 성실한"
1607,confident,자신감 있는
1608,pale,창백한
1609,proper,적절한
1610,brief,"간단한, 간략한"
1611,typical,전형적인
1612,rare,"드문, 희귀한"
1613,outer,외부의
1614,genetic,"유전의, 유전자의"
1615,extracurricular,과외의
1616,organic,유기농의
1617,underwater,수중의
1618,holy,신성한
1619,fairly,"공정히, 꽤, 상당히"
1620,unfortunately,불행히도
1621,anniversary,기념일
1622,atmosphere,"대기권, 분위기"
1623,nutrient,영양분
1624,voyage,"여행, 항해"
1625,grain,곡물
1626,navy,해군
1627,document,문서
1628,instrument,"도구, 악기"
1629,license,"면허, 면허증"
1630,tube,"관, 튜브"
1631,blackboard,칠판
1632,leather,가죽
1633,chalk,분필
1634,jewel,보석
1635,department,부서
1636,mud,진흙
1637,fortune,"운, 큰 재산"
1638,target,"목표, 과녁"
1639,resource,자원
1640,aspect,측면
1641,hunger,"배고픔, 굶주림"
1642,anger,분노
1643,error,"오류, 실수"
1644,iron,"철, 다림질하다"
1645,jail,감옥
1646,comment,논평하다
1647,protein,단백질
1648,protest,항의하다
1649,request,"요청, 요청하다"
1650,concern,염려하다
1651,bomb,폭탄
1652,dump,"버리다, 폐기하다"
1653,poison,독
1654,enable,~할 수 있게 하다
1655,wound,"상처, 부상"
1656,annoy,괴롭히다
1657,chase,"쫓다, 추적하다"
1658,insist,주장(고집)하다
1659,afford,~할 여유가 있다
1660,combine,조합(결합)하다
1661,absorb,흡수하다
1662,owe,빚을 지다
1663,attach,부착(첨부)하다
1664,cease,중단하다
1665,cooperate,협력하다
1666,awake,깨어나다
1667,defend,방어하다
1668,idle,"게으른, 한가한"
1669,be aware of,~를 인식하다
1670,previous,이전의
1671,precious,귀중한
1672,efficient,효율적인
1673,political,정치적인
1674,rough,"거친, 험한"
1675,nuclear,"핵의, 원자력의"
1676,severe,혹독한
1677,indoor,실내의
1678,romantic,낭만적인
1679,aloud,크게
1680,sometime,언젠가
1681,democracy,민주주의
1682,identity,"동일, 정체, 신원"
1683,justice,정의
1684,devil,"악마, 악마의"
1685,faith,신념
1686,spectator,"관객, 구경꾼"
1687,glory,영광
1688,recreation,"오락, 기분전환"
1689,apology,사과(사죄)하다
1690,income,수입
1691,crisis,위기
1692,tax,세금
1693,debt,"빚, 채무"
1694,fee,요금
1695,gap,"차이, 간격"
1696,fuel,연료
1697,angle,"각도, 관점"
1698,burden,"짐, 부담"
1699,theory,이론
1700,selection,"선택, 선별"
1701,nest,둥지
1702,sum,"총계, 요약하다"
1703,labor,"노동, 노력"
1704,profit,이윤
1705,remark,비평하다
1706,process,"과정, 절차, 가공하다"
1707,comfort,"편리, 편안"
1708,exit,"출구, 나가다"
1709,approach,"접근하다, 접근방식"
1710,purchase,구매하다
1711,struggle,"애쓰다, 노력하다"
1712,defeat,"물리치다, 패배시키다"
1713,content,내용
1714,persuade,설득하다
1715,acid,산
1716,emphasize,강조하다
1717,differ,다르다
1718,accuse,고소(비난)하다
1719,deserve,~해 마땅하다
1720,investigate,조사하다
1721,permit,허가하다
1722,distinguish,구별하다
1723,forbid,금지하다
1724,adopt,채택(입양)하다
1725,reject,거부하다
1726,usual,"평범한, 보통의"
1727,pure,순수한
1728,primary,"주요한, 제1의"
1729,dumb,"벙어리의, 우둔한"
1730,sufficient,충분한
1731,slight,약간의
1732,accurate,정확한
1733,particular,특별한
1734,complicated,복잡한
1735,financial,재정의
1736,artificial,인공의
1737,be fond of,~를 좋아하다
1738,tropical,열대의
1739,aboard,배(비행기)에 탄
1740,hardly,거의 ~아닌
1741,pupil,"제자, 동공"
1742,mankind,인류
1743,servant,"하인, 시종"
1744,poet,시인
1745,profession,"직업, 선언"
1746,detective,탐정
1747,occupation,"직업, 거주"
1748,consumer,소비자
1749,surgery,수술
1750,chef,요리사
1751,instruction,"지시, 교육"
1752,wage,"임금, 급료"
1753,principle,"원리, 원칙"
1754,steel,강철
1755,revolution,혁명
1756,device,"장치, 설비"
1757,authority,"권위, 공공기관"
1758,pill,알약
1759,rank,"등급, 평가하다"
1760,ceiling,천장
1761,property,재산
1762,aisle,"통로, 복도"
1763,advantage,"유리, 이익"
1764,appearance,외모
1765,affair,"일, 사건"
1766,destination,목적지
1767,occasion,"경우, 근거"
1768,sweat,땀을 흘리다
1769,propose,제안하다
1770,switch,"바꾸다, 전환하다"
1771,approve,승인하다
1772,grab,움켜쥐다
1773,admit,인정하다
1774,plain,"평범한, 평원"
1775,conduct,지휘(실행)하다
1776,giant,"거인, 거대한"
1777,reserve,보존(예약)하다
1778,found,"설립하다, 세우다"
1779,reveal,드러내다
1780,seek,"찾다, 구하다"
1781,extend,확장하다
1782,fog,안개
1783,involve,포함하다
1784,swing,"흔들다, 그네"
1785,definite,"뚜렷한, 명백한"
1786,cancel,취소하다
1787,significant,"중요한, 상당한"
1788,avoid,회피하다
1789,vital,"생명의, 중대한"
1790,permanent,영구적인
1791,extreme,극단적인
1792,temporary,일시적인
1793,academic,학구적인
1794,steep,가파른
1795,guilty,유죄의
1796,logical,논리적인
1797,conscious,의식적인
1798,ridiculous,우스운
1799,generally,일반적으로
1800,stairway,계단